part,1
name,
,,1111,欣欣水泥
,,1237,台糖公司
,,1242,新東陽
,,1246,中聯油脂
,,1267,京華堂
,,1294,漢田生技
,,1328,中油
,,1408,中紡
,,1480,東盟開發
,,1550,台全電機
,,1557,金豐機器
,,1592,英瑞-KY
,,1602,太電
,,1606,歌林
,,1613,台一
,,1619,大展電線
,,1715,萬洲
,,1716,永信藥品
,,1739,欣雲天然
,,1740,欣桃天然
,,1743,大台南區
,,1745,欣嘉公司
,,1763,奇美實業
,,1764,長春石油
,,1765,長春人造
,,1766,大連化工
,,1767,陽瓦
,,1769,欣中公司
,,1770,信東生技
,,1775,大東樹脂
,,1819,豐鼎
,,2041,燁茂實業
,,2048,中龍鋼鐵
,,2056,璋釔
,,2068,優頻科技材料
,,2215,匯豐汽車
,,2218,高都汽車
,,2219,鍾慶科技
,,2220,南都汽車
,,2222,桃苗汽車
,,2225,國都汽車
,,2226,中部汽車
,,2311,日月光
,,2325,矽品
,,2364A,倫甲特
,,2384,勝華
,,2549,遠揚建設
,,2557,泛亞工程
,,2568,世正開發
,,2579,鈺通營造
,,2580,遠揚營造
,,2619,新竹物流
,,2621,立榮航空
,,2644,中信造船
,,2711,凱撒飯店
,,2716,長榮國際
,,2721,楷捷-KY
,,2738,曼哈頓-KY
,,2751,王座
,,2759,咖碼
,,2760,巨宇翔
,,2807,渣打銀行
,,2823,中壽
,,2833,台壽保
,,2837,凱基銀行
,,2848,華南保
,,2856,元富證
,,2858,中租迪和
,,2862,光華證券投資
,,2863,泰安產物
,,2872,台灣票券
,,2873,大中票券
,,2874,萬通票券
,,2876,宏泰人壽
,,2877,國泰產險
,,2893,新光銀行
,,2894,大慶票券
,,2895,陽信銀行
,,2899,金融大樓
,,2920,海景
,,2928,紅馬-KY
,,2940,歐都納
,,3157,威寶電信
,,3197,賽亞基因科技
,,3280,龍生
,,3298,圓創
,,3342,飛虹科
,,3369,鐵研
,,3386,新德科技
,,3405,津綻石英科技
,,3462,瑋鋒科技
,,3463,宏塑工業
,,3472,友荃
,,3507,力群
,,3509,台固線上
,,3510,易鼎
,,3525,就業情報資訊
,,3539,隨身遊戲
,,3554,精品
,,3572,宏芯
,,3601,前源
,,3648,漢台科技
,,3656,聯勝
,,3674,康訊
,,3683,仲博科技
,,3688,華立捷
,,4115,善德生技
,,4118,友合
,,4170,鑫品
,,4184,昕琦
,,4189,膠原科技
,,4191,法德藥
,,4427,展頌
,,4539,台灣智慧光網
,,4548,名超企業
,,4585,達明
,,4586,能海電能
,,4724,宣捷幹細胞
,,4730,通用
,,4753,台特化
,,4772,台特化
,,4803,VHQ-KY
,,4949,有成
,,4981,可取國際
,,4985,富相科技
,,5214,大新能源
,,5216,優燈
,,5219,瑪居禮電波工業
,,5246,勵威電子
,,5260,見智科技
,,5266,F*AS
